category,patch_file,dissimilarity_d1,dissimilarity_d3,dissimilarity_d5,correlation_d1,correlation_d3,correlation_d5,contrast_d1,contrast_d3,contrast_d5,energy_d1,energy_d3,energy_d5,homogeneity_d1,homogeneity_d3,homogeneity_d5,ASM_d1,ASM_d3,ASM_d5
gres,Gres_patch_0000_0256.png,4.773981696400889,5.249354237528314,5.232056292987478,0.16523994286339397,0.001246585936349867,0.002205006769007739,38.52088120582498,46.06235808767923,45.964405943852945,0.06917929692452016,0.06764078524237344,0.06787940252044511,0.20007918403167002,0.18290904695348917,0.1843354151498453,0.004786578673991833,0.004575296497432076,0.00460761505481128
gres,Gres_patch_0000_0384.png,4.5639744404488845,4.957068385456015,4.984187524586931,0.15013826492216215,0.0030552051475045256,-0.0018740579582672266,35.14440240599241,41.265303732835534,41.5054575074237,0.07268051606197537,0.07124250696848113,0.0712630475555229,0.20708758504500135,0.1935490157739528,0.19125208610563893,0.005283221755134112,0.005075503175613875,0.005078428200362778
gres,Gres_patch_0128_0000.png,4.852052930668369,5.307752389613226,5.366895497047438,0.16872390325758155,0.008850678863806713,-0.009140878219840188,39.884780035185216,47.56135124952733,48.49324576285076,0.06900337231612938,0.06747289761581814,0.06728247910305202,0.19835053092995614,0.18291338421239525,0.18114666839598814,0.004762471167764732,0.004552601979679209,0.004526936681869636
gres,Gres_patch_0128_0128.png,4.891809904713561,5.336578754881549,5.350640803717962,0.15870807613498183,0.000920086945425683,-0.0004908666429042285,40.544974429792745,48.149513491275826,48.18351451990961,0.06795093628159304,0.06655058552389478,0.066545652515456,0.19591081589873732,0.18192589954235563,0.181441218037976,0.004618146559197162,0.004428990868124227,0.004428336134137953
gres,Gres_patch_0128_0256.png,4.990903903682807,5.466984394683768,5.459946173769903,0.15835395632517987,-0.0017299134959159472,0.0007564661679348075,42.22312996969754,50.29921303382431,50.11793090792427,0.06751606331416177,0.06605801764066915,0.06607294143104775,0.19475037720049557,0.178616508510172,0.17908374112808706,0.004559375835766534,0.004363677309081488,0.004365634871399463
gres,Gres_patch_0128_0384.png,4.68857265058281,5.14068724411058,5.175913619604619,0.1754670400086712,0.012380903172110437,-0.0008161207940745632,37.05597182288123,44.37410861914186,45.1032861138519,0.07020161029677932,0.06868639503150424,0.06851595510596277,0.20104984495121683,0.18481871338466954,0.1858120780568517,0.004929209937096198,0.004717834153840795,0.0046944481894793085
gres,Gres_patch_0256_0000.png,4.870358225091457,5.360810311161472,5.410454383163915,0.17153145365359798,0.005652399665314844,-0.012573257382880973,40.1487702662907,48.25751423532348,49.21895084290904,0.0677437003338475,0.06619683030052578,0.06604575344542918,0.1964814022301347,0.18023397952811318,0.17788604913574096,0.004590212574183845,0.004382036593490386,0.004362076126929862
gres,Gres_patch_0256_0128.png,4.949121511524278,5.458842080813769,5.501043953516403,0.17403588303380652,0.003613656902355983,-0.006565345373929788,41.672488341070604,50.35788905423245,50.925036371485966,0.06701865472284521,0.06547693292329762,0.06525675515058948,0.1951521407242999,0.18055634114297223,0.17623754983601705,0.004492553708779978,0.004287246163316321,0.0042584626956297875
gres,Gres_patch_0256_0256.png,4.999696901737558,5.518591029698885,5.474428376791401,0.16726484294415678,-0.009807525834476843,0.004664681462214771,42.48092684857268,51.390814078640375,50.63166691055328,0.06716468955558319,0.06560530252455549,0.06566832536939154,0.19430849012228504,0.17754088393420236,0.1784764145155887,0.004512009500183321,0.004304060165259721,0.004312332097464667
gres,Gres_patch_0256_0384.png,4.742306051018355,5.219537005542935,5.249442398617201,0.1690991944801138,0.0019554035365400386,-0.010436897883211003,37.97258807408254,45.677286084340956,46.27558439585925,0.06964534067037405,0.06802752648841714,0.06792932454839143,0.20055503746211947,0.18405813077924388,0.18456802544485773,0.004851256444662602,0.004627763860078942,0.004614400073722215
gres,Gres_patch_0384_0000.png,4.860288411983076,5.382671650604658,5.32616561260077,0.1712782246042543,-0.006782909140754757,0.006082492461197576,40.024210927328234,48.58285370212872,47.95150678943219,0.06863271212971415,0.06696298949378679,0.06711120586178715,0.19745763121858514,0.18016747840001437,0.1824407171905486,0.004711439606221307,0.004484055170057523,0.004503916020616897
gres,Gres_patch_0384_0128.png,4.858559068680638,5.345127932886086,5.368697597433004,0.17330506518328068,0.0021726064256850195,-0.0035831157615338646,40.023350554513755,48.259074015022364,48.57942042437055,0.06824345056113447,0.06675743137405551,0.0667010714787754,0.19632088932653785,0.18094408494844796,0.17992567677411006,0.0046578579842597514,0.004456582661354206,0.004449040570571558
gres,Gres_patch_0384_0256.png,4.893355669523838,5.400464096749777,5.398202470009214,0.17663464989881697,0.0014697654996604812,-0.00437026553711985,40.50194210544681,49.015416091899404,49.18654477757548,0.0681191299173686,0.06664073838798751,0.06659777485570517,0.1962140658790927,0.17976267536944068,0.18038815305400197,0.00464130973910867,0.0044409993958287475,0.004435273154612958
gres,Gres_patch_0384_0384.png,4.648156440844135,5.140768065791104,5.126190335032733,0.17028805143354056,-0.0014993412141000632,-0.0001780228578301998,37.040229967178774,44.75398071381306,44.694265555733615,0.07145217486235518,0.06986761457062965,0.06990150924987071,0.20679783858587214,0.18762710768982788,0.18819997608706573,0.005106386638505587,0.00488149304665647,0.004886247279482145
laminat,laminat_patch_0000_0000.png,4.852019872008498,5.937400455089424,5.639457996122127,0.294403085721644,0.017790959309467225,0.1417534826594857,42.132793003867334,58.66353165942283,51.39130403244312,0.05883451434603358,0.05438581960497535,0.05251210099100205,0.2225660013348311,0.1661840922404048,0.16572563370868731,0.003627737210134079,0.0029757128388280254,0.002763140657804094
laminat,laminat_patch_0000_0128.png,3.9766282540377618,4.922742087112607,4.711411723898715,0.36477944721497596,0.0739349036737654,0.19777651408686361,29.846737025505323,43.45521593127972,37.51342033805193,0.06847273492657321,0.06308770001698008,0.06150611217396912,0.25702634790124224,0.20367296790238004,0.19835784818008959,0.004853645571162037,0.003998498891175911,0.0037880781862341378
laminat,laminat_patch_0000_0256.png,3.7234078804095097,4.8461499984252825,4.811377229480212,0.4385574895721178,0.1141164869306919,0.18588381255620914,26.340894240382255,41.627856953892504,38.03161047625692,0.07097225457635016,0.06386430322592049,0.062027350716993265,0.26946091392528776,0.2047403824493781,0.19393606944739816,0.005180169817981378,0.0040984833543761595,0.0038553517466561635
laminat,laminat_patch_0000_0384.png,4.711728001581005,6.235924280360278,5.834710879403435,0.3688661635324208,-0.018958951412972255,0.138515704980158,40.92485124814004,66.34462458270323,56.435265050511575,0.05865909579455223,0.05407481262502048,0.05192600165228157,0.22749037897486885,0.16542166431391633,0.16392000290019526,0.003610120178287664,0.0029505869157232362,0.002706262359849429
laminat,laminat_patch_0000_0512.png,4.075580088660174,5.269049178004521,4.9627926407589,0.3650000120739642,0.0044261887321434545,0.16592170454092425,32.02483734654972,50.292076010959775,42.3355868552141,0.07017787346984321,0.06465944086724558,0.06236756124887989,0.25756417211807564,0.19576895647086237,0.19485854145643278,0.005107484579443863,0.004212021082351636,0.003906158729316451
laminat,laminat_patch_0128_0000.png,4.568626508346768,5.516519809775739,5.460718910872604,0.3242250684639853,0.07700138077942062,0.12285363358800752,37.981212146018095,51.79216878464325,49.108849371552566,0.06146760921965362,0.0566871905808933,0.05532864065593894,0.2271881352752221,0.1771846751333595,0.17099804757690656,0.0038920902597225047,0.0032215467229890667,0.003063463247275355
laminat,laminat_patch_0128_0128.png,4.244109140562035,5.001713813303073,4.934818701724993,0.37295517976029197,0.16501914062291712,0.2207124683645323,33.70911854714342,44.779797721403135,41.7031893754812,0.0647207155475339,0.060191511926716984,0.058867065643862855,0.24929237988008413,0.2052582086457826,0.1978879899817598,0.00432014428783357,0.0036458905045253266,0.003478382938249624
laminat,laminat_patch_0128_0256.png,4.003910246101741,5.089105788611721,5.0005749675610955,0.386127972430299,0.06090759086262324,0.1588983685516761,30.45458599901582,46.600011983496884,41.75184876269531,0.06921910678113402,0.06342181024491358,0.06096532690862934,0.2581198290379751,0.20064408272608242,0.18772686220804713,0.004952659592904651,0.004045292131442732,0.0037272056134236555
laminat,laminat_patch_0128_0384.png,4.137579607190466,5.422722942649267,5.221550895228968,0.43391188512290196,0.06919201098877398,0.16901778526146263,30.724855437992183,50.53125110622939,45.194900503529965,0.06597167133903699,0.06089217387886878,0.0589782576116204,0.24092638086229307,0.1833053091609324,0.1791077268931891,0.004478521020612877,0.003721249527075408,0.003484612961181858
laminat,laminat_patch_0128_0512.png,4.157577916718335,5.3427707270408025,4.952421975462758,0.3544331387542923,0.0010246115872605543,0.18087506911059792,32.93001033658322,51.047306732646575,41.6906193522743,0.06950486502681867,0.0642444911898644,0.06238951092380718,0.2568589594256858,0.1933389196582215,0.19373462011072706,0.005026788946535384,0.004161404203451882,0.00390907655617008
